tournament_id,team_id,player_id,jersey_number
WC26,ECU,P-75628,5
WC26,ENG,P-05318,18
WC26,JPN,P-41902,26
WC26,MAR,P-59033,17
WC26,AUS,P-11675,18
WC26,MEX,P-81433,21
WC26,QAT,P-33804,14
WC14,CIV,P-33115,21
WC18,MEX,P-21208,15
WC22,AUS,P-09062,3
WC02,BRA,P-64377,1
WC22,BEL,P-81997,20
WC14,USA,P-45750,15
WC06,ECU,P-51733,9
WC22,FRA,P-07089,17
WC18,BRA,P-37877,20
WC02,ESP,P-71130,10
WC10,KOR,P-61550,15
WC14,FRA,P-89750,9
WC22,KOR,P-04157,21
WC06,IRN,P-02909,3
WC14,JPN,P-62769,3
WC22,SEN,P-86095,12
WC14,ESP,P-52217,12
WC06,SWE,P-35312,5
WC22,ARG,P-37314,7
WC10,MEX,P-02461,8
WC18,COL,P-38594,23
WC22,JPN,P-56398,19
WC22,ENG,P-50034,21
WC14,ENG,P-50943,11
WC18,MAR,P-50688,1
WC18,ENG,P-92628,5
WC10,BRA,P-25449,21
WC22,USA,P-35320,17
WC02,KOR,P-25724,21
WC14,FRA,P-04964,14
WC18,BRA,P-92004,9
WC10,USA,P-48341,19
WC14,IRN,P-85324,16
WC06,BRA,P-85176,6
WC22,MAR,P-80656,23
WC22,AUS,P-82010,23
WC02,JPN,P-35882,13
WC22,MEX,P-64182,10
WC02,ARG,P-26200,15
WC22,ESP,P-31301,11
WC02,SWE,P-47401,23
WC22,BRA,P-76060,4
WC02,ARG,P-62209,11
WC22,TUN,P-49094,20
WC22,IRN,P-98747,15
WC22,JPN,P-53272,1
WC06,IRN,P-13809,15
WC22,KOR,P-94500,25
WC18,TUN,P-94563,8
WC14,FRA,P-90908,11
WC10,CIV,P-30753,1
WC18,BEL,P-84852,14
WC22,ECU,P-34543,10
WC02,ESP,P-03307,20
WC22,KOR,P-87514,18
WC02,BRA,P-42918,3
WC14,BRA,P-54042,9
WC18,KOR,P-91889,14
WC10,MEX,P-98486,5
WC14,ECU,P-75912,13
WC22,AUS,P-67089,25
WC22,KOR,P-88529,2
WC18,TUN,P-25989,16
WC06,CZE,P-81477,9
WC02,USA,P-34695,2
WC14,COL,P-99957,14
WC10,JPN,P-85824,15
WC06,ECU,P-05227,19
WC06,CZE,P-65749,17
WC14,ITA,P-92874,3
WC18,SWE,P-04686,10
WC18,FRA,P-71285,20
WC06,ARG,P-66229,5
WC22,MAR,P-70715,7
WC18,BRA,P-84301,3
WC10,NZL,P-53863,7
WC14,CIV,P-54100,20
WC22,BEL,P-70547,2
WC18,FRA,P-64077,10
WC10,FRA,P-84312,20
WC18,COL,P-74655,9
WC22,ESP,P-16333,4
WC22,AUS,P-88273,4
WC22,ENG,P-08169,8
WC10,CIV,P-33586,10
WC22,GHA,P-21820,21
WC18,PAN,P-24760,20
WC18,AUS,P-59727,2
WC06,TUN,P-96363,4
WC18,MEX,P-40312,18
WC18,MEX,P-57865,9
WC14,COL,P-77916,23
WC18,IRN,P-47137,23
WC22,MEX,P-64299,14
WC06,FRA,P-66615,13
WC02,ENG,P-94825,17
WC10,JPN,P-77277,10
WC02,KOR,P-72495,11
WC22,SEN,P-66635,10
WC14,ECU,P-33117,6
WC22,ESP,P-62341,16
WC06,SWE,P-19165,14
WC14,MEX,P-03287,5
WC18,IRN,P-26022,13
WC14,AUS,P-35837,7
WC10,JPN,P-28659,13
WC06,IRN,P-43423,18
WC14,JPN,P-90491,13
WC14,BEL,P-84852,14
WC18,ESP,P-11593,16
WC18,SEN,P-44044,20
WC02,SEN,P-81968,3
WC06,CZE,P-91280,21
WC22,FRA,P-54517,8
WC18,ESP,P-64348,3
WC22,IRN,P-17784,12
WC06,KOR,P-22338,14
WC18,JPN,P-02595,11
WC02,JPN,P-79993,21
WC22,QAT,P-12810,16
WC10,MEX,P-77047,17
WC22,ARG,P-27582,5
WC06,KOR,P-55485,23
WC10,CIV,P-19801,9
WC10,ENG,P-95616,16
WC02,ARG,P-02174,13
WC18,MAR,P-54550,3
WC18,ARG,P-73712,8
WC10,CIV,P-59702,17
WC06,ITA,P-57529,20
WC14,ARG,P-38647,6
WC14,JPN,P-26303,5
WC10,NZL,P-26059,21
WC14,BEL,P-03735,16
WC06,JPN,P-90430,22
WC14,FRA,P-30652,23
WC10,JPN,P-33175,18
WC02,BEL,P-44716,23
WC14,FRA,P-72916,3
WC22,ECU,P-11495,15
WC10,USA,P-56817,12
WC02,ECU,P-98031,3
WC10,MEX,P-68042,11
WC14,AUS,P-77068,6
WC06,ENG,P-65534,8
WC06,ECU,P-27162,22
WC26,SEN,P-86937,7
WC26,JPN,P-30206,25
WC26,ESP,P-46898,17
WC26,ESP,P-37294,8
WC26,USA,P-35320,17
WC26,MAR,P-80656,23
WC26,JPN,P-57586,21
WC26,AUS,P-30596,12
WC26,FRA,P-57401,14
WC26,IRN,P-75785,3
WC26,BEL,P-61810,22
WC26,ENG,P-22844,24
WC26,BRA,P-40137,2
WC26,MAR,P-70715,7
WC26,BEL,P-29578,25
WC26,ENG,P-46540,26
WC26,GHA,P-21820,21
WC26,JPN,P-64056,24
WC26,CAN,P-61949,16
WC26,KOR,P-93920,10
WC26,AUS,P-59727,2
WC26,CAN,P-83822,12
WC26,BRA,P-74688,17
WC26,BEL,P-56669,26
WC26,ESP,P-24897,26
WC26,KOR,P-88360,22
WC26,MEX,P-19618,8
WC26,QAT,P-90689,4
WC26,KOR,P-77335,7
WC26,JPN,P-46913,18
WC26,CAN,P-72399,14
WC22,GHA,P-82956,18
WC18,TUN,P-03191,3
WC06,GHA,P-52437,7
WC14,ENG,P-65534,8
WC06,KOR,P-50318,20
WC22,IRN,P-74098,5
WC10,ITA,P-18164,8
WC22,BEL,P-22930,15
WC02,BRA,P-74261,10
WC02,BEL,P-03447,10
WC22,GHA,P-01945,10
WC06,AUS,P-84486,23
WC22,MAR,P-50688,1
WC02,BEL,P-48592,1
WC10,ENG,P-41152,15
WC06,GHA,P-51458,23
WC14,USA,P-20244,3
WC10,CIV,P-08544,3
WC02,ECU,P-86943,18
WC14,ITA,P-16785,9
WC06,CIV,P-58634,10
WC02,ESP,P-23800,8
WC02,TUR,P-79130,4
WC06,GHA,P-97589,16
WC06,BRA,P-52008,5
WC06,TUN,P-33293,7
WC06,FRA,P-18830,7
WC10,GHA,P-56448,15
WC06,FRA,P-56430,10
WC14,IRN,P-82054,19
WC22,KOR,P-57511,20
WC06,CZE,P-69743,4
WC06,ITA,P-18164,8
WC02,TUN,P-72780,7
WC10,AUS,P-84486,23
WC10,KOR,P-30708,13
WC18,TUN,P-47815,17
WC02,ENG,P-37933,19
WC10,CIV,P-44934,19
WC22,ARG,P-92353,15
WC06,ESP,P-63942,2
WC18,TUN,P-11879,11
WC06,BRA,P-87223,18
WC02,TUR,P-46497,21
WC02,SEN,P-91308,18
WC18,MAR,P-46039,11
WC10,GHA,P-93750,8
WC14,MEX,P-77489,21
WC14,IRN,P-70046,11
WC06,CIV,P-93241,15
WC06,ENG,P-24015,23
WC18,MAR,P-53270,5
WC22,MEX,P-26412,7
WC10,ESP,P-24647,2
WC02,SEN,P-35460,20
WC14,IRN,P-82213,2
WC18,SWE,P-89934,11
WC18,MAR,P-70715,7
WC06,USA,P-02842,23
WC10,CIV,P-99466,11
WC22,GHA,P-23821,20
WC22,FRA,P-84424,21
WC06,BRA,P-30363,16
WC06,CZE,P-29090,10
WC18,MEX,P-83642,19
WC06,ECU,P-75905,13
WC14,ARG,P-60541,1
WC10,ARG,P-42113,7
WC22,USA,P-74007,14
WC18,FRA,P-71816,22
WC22,ESP,P-60716,2
WC14,CIV,P-07076,14
WC06,ESP,P-73924,14
WC22,BRA,P-40137,2
WC14,ARG,P-77063,14
WC10,ENG,P-59324,1
WC14,AUS,P-37275,15
WC18,ESP,P-97275,11
WC06,BRA,P-74340,15
WC02,SEN,P-27229,2
WC10,KOR,P-06608,10
WC02,KOR,P-46519,10
WC22,ENG,P-21153,7
WC02,KOR,P-15222,18
WC22,QAT,P-93316,24
WC02,SWE,P-06256,2
WC06,CZE,P-64760,11
WC22,ENG,P-89070,13
WC22,MAR,P-90423,9
WC14,KOR,P-13271,3
WC14,JPN,P-53076,20
WC06,BRA,P-37735,19
WC22,MAR,P-05216,21
WC18,JPN,P-28595,2
WC22,ESP,P-92513,1
WC02,MEX,P-76755,19
WC22,MAR,P-48295,14
WC06,ARG,P-19888,9
WC02,TUN,P-44011,23
WC18,JPN,P-36278,13
WC22,BRA,P-74688,17
WC14,KOR,P-29447,14
WC22,FRA,P-60652,2
WC06,FRA,P-98022,17
WC22,AUS,P-61979,11
WC06,CZE,P-54533,22
WC22,SEN,P-55298,21
WC22,GHA,P-92252,8
WC06,USA,P-71080,11
WC06,SWE,P-45212,20
WC14,MEX,P-22756,23
WC14,ARG,P-27419,18
WC06,MEX,P-77467,16
WC18,COL,P-94838,1
WC06,GHA,P-27915,21
WC18,KOR,P-15736,9
WC06,CZE,P-40666,7
WC22,ECU,P-69217,24
WC06,TUN,P-66577,16
WC22,FRA,P-23304,13
WC06,ENG,P-17428,17
WC06,AUS,P-92892,17
WC22,BEL,P-10313,12
WC06,CIV,P-92316,21
WC14,ARG,P-69606,3
WC22,ARG,P-39788,1
WC06,FRA,P-96540,4
WC06,CZE,P-07338,23
WC22,MEX,P-49806,24
WC14,BRA,P-93619,13
WC10,ENG,P-43764,2
WC06,MEX,P-40312,18
WC10,JPN,P-46807,20
WC02,USA,P-60597,20
WC22,AUS,P-51406,14
WC22,TUN,P-38981,12
WC02,ENG,P-10663,9
WC14,JPN,P-75667,11
WC06,USA,P-87765,22
WC14,USA,P-91438,16
WC18,SEN,P-55140,8
WC02,ESP,P-20643,4
WC06,GHA,P-12805,8
WC02,ENG,P-34406,23
WC18,AUS,P-58540,6
WC18,COL,P-14499,20
WC22,ARG,P-23070,25
WC14,GHA,P-50641,11
WC14,JPN,P-41027,16
WC22,JPN,P-89321,22
WC14,ECU,P-43280,4
WC22,GHA,P-53967,19
WC06,USA,P-12548,3
WC06,GHA,P-70474,19
WC02,BEL,P-69659,7
WC02,MEX,P-21495,8
WC18,EGY,P-44093,7
WC02,TUR,P-65298,18
WC18,AUS,P-61256,9
WC14,ESP,P-89177,15
WC02,ENG,P-03723,21
WC14,JPN,P-42018,8
WC18,ARG,P-29398,9
WC10,USA,P-88370,11
WC14,JPN,P-28762,12
WC02,ECU,P-32567,6
WC18,KOR,P-51199,3
WC22,GHA,P-16148,12
WC10,NZL,P-76440,16
WC14,ESP,P-47597,13
WC14,FRA,P-08834,13
WC14,ENG,P-20585,6
WC14,MEX,P-36515,14
WC06,FRA,P-30652,1
WC14,JPN,P-81377,19
WC02,KOR,P-26616,19
WC26,GHA,P-82956,18
WC26,ECU,P-13973,19
WC26,IRN,P-15905,19
WC26,GHA,P-01945,10
WC26,MAR,P-50688,1
WC26,ECU,P-06545,14
WC26,QAT,P-01930,19
WC26,AUS,P-64249,17
WC26,BEL,P-72011,10
WC26,BRA,P-76060,4
WC26,CAN,P-28794,7
WC26,SEN,P-37001,25
WC26,QAT,P-01258,3
WC26,GHA,P-23821,20
WC26,TUN,P-25741,7
WC26,ARG,P-10231,17
WC26,BEL,P-61413,4
WC26,USA,P-74007,14
WC26,SEN,P-11718,2
WC26,TUN,P-21865,11
WC26,AUS,P-24134,5
WC26,QAT,P-95754,12
WC26,ARG,P-84430,26
WC26,MAR,P-90423,9
WC26,ESP,P-49008,14
WC26,TUN,P-11346,9
WC26,MAR,P-05216,21
WC26,CAN,P-65386,6
WC26,MAR,P-48295,14
WC26,QAT,P-47319,11
WC26,GHA,P-92252,8
WC26,BEL,P-73834,19
WC26,ARG,P-13162,23
WC26,MEX,P-42911,16
WC26,MEX,P-80826,13
WC26,QAT,P-51678,8
WC26,ARG,P-91431,4
WC26,KOR,P-14360,4
WC26,GHA,P-53967,19
WC26,QAT,P-63532,23
WC26,KOR,P-10357,17
WC26,GHA,P-16148,12
WC26,MEX,P-24062,19
WC26,FRA,P-35408,19
WC26,IRN,P-04541,16
WC18,IRN,P-84406,21
WC14,BEL,P-63363,8
WC06,CZE,P-56023,8
WC18,PAN,P-76368,23
WC18,ESP,P-44334,23
WC22,SEN,P-86937,7
WC18,BEL,P-22930,15
WC18,IRN,P-87786,14
WC22,ENG,P-76287,16
WC06,FRA,P-56947,15
WC02,BEL,P-17071,2
WC18,ESP,P-76837,12
WC14,CIV,P-19801,9
WC06,ARG,P-27047,12
WC02,TUR,P-37782,6
WC02,USA,P-76191,1
WC10,ITA,P-36764,13
WC22,FRA,P-64077,10
WC14,KOR,P-16139,7
WC02,BEL,P-94736,3
WC10,JPN,P-91793,17
WC14,CIV,P-33586,10
WC06,ESP,P-24556,7
WC02,ITA,P-57378,6
WC22,TUN,P-27079,21
WC06,BRA,P-02795,1
WC14,CIV,P-10731,15
WC06,IRN,P-18605,1
WC22,TUN,P-09569,18
WC02,BEL,P-12777,13
WC02,ESP,P-76612,17
WC14,COL,P-95402,7
WC18,KOR,P-37612,20
WC06,ESP,P-15314,4
WC10,FRA,P-94643,4
WC02,KOR,P-37114,8
WC06,GHA,P-77757,18
WC10,JPN,P-53272,21
WC14,COL,P-14499,20
WC22,CAN,P-31806,4
WC10,JPN,P-84807,9
WC22,ARG,P-81505,22
WC18,BEL,P-63363,8
WC06,ESP,P-81297,18
WC02,JPN,P-46807,5
WC18,AUS,P-20087,14
WC14,ESP,P-35157,5
WC22,TUN,P-82657,22
WC06,CIV,P-14175,9
WC18,BEL,P-10313,12
WC02,SWE,P-53821,5
WC02,MEX,P-87592,3
WC18,FRA,P-17174,3
WC22,IRN,P-28492,24
WC22,KOR,P-67516,6
WC06,BRA,P-91718,2
WC22,KOR,P-32599,8
WC18,SEN,P-44035,1
WC18,MAR,P-15199,13
WC14,CIV,P-23169,6
WC06,KOR,P-20248,19
WC02,MEX,P-45941,15
WC06,FRA,P-55659,22
WC06,TUN,P-76769,15
WC14,ESP,P-28010,16
WC22,IRN,P-80505,22
WC02,FRA,P-80680,6
WC02,SWE,P-68329,15
WC22,GHA,P-31765,9
WC06,KOR,P-06608,10
WC06,TUN,P-82870,6
WC02,ARG,P-60203,7
WC14,CIV,P-30753,1
WC22,ENG,P-76842,17
WC18,ARG,P-95278,13
WC18,ESP,P-52837,7
WC18,IRN,P-98775,18
WC10,USA,P-71113,2
WC06,ITA,P-42227,19
WC14,FRA,P-91114,21
WC10,USA,P-97258,4
WC10,JPN,P-15134,11
WC10,ITA,P-75306,10
WC06,SWE,P-44340,15
WC14,COL,P-94838,1
WC18,PAN,P-91455,4
WC10,JPN,P-61292,7
WC18,ENG,P-06851,16
WC06,KOR,P-56626,11
WC06,AUS,P-06384,12
WC18,KOR,P-77335,7
WC18,SWE,P-73907,21
WC02,KOR,P-66219,15
WC22,IRN,P-62858,25
WC18,ESP,P-09400,20
WC06,MEX,P-73255,10
WC06,ITA,P-55511,13
WC10,GHA,P-06223,20
WC14,JPN,P-27263,6
WC06,ECU,P-17733,7
WC02,ENG,P-93674,13
WC22,ESP,P-94271,23
WC14,ESP,P-29415,8
WC02,TUR,P-31566,22
WC18,AUS,P-91329,11
WC14,MEX,P-77419,20
WC10,ITA,P-11109,2
WC18,JPN,P-23371,15
WC22,ENG,P-05318,18
WC02,BEL,P-28883,5
WC22,ECU,P-16576,9
WC14,MEX,P-01835,22
WC06,SWE,P-85432,8
WC02,ITA,P-68818,11
WC06,ITA,P-83836,7
WC22,IRN,P-68842,18
WC02,BEL,P-12842,15
WC18,AUS,P-35837,7
WC18,KOR,P-93920,17
WC14,USA,P-97258,4
WC14,COL,P-77705,9
WC10,ARG,P-05459,12
WC14,ESP,P-71661,9
WC18,MAR,P-46107,9
WC14,BEL,P-10313,12
WC06,ARG,P-77063,8
WC02,SWE,P-84022,9
WC22,CAN,P-46358,19
WC22,JPN,P-45981,2
WC02,USA,P-88043,5
WC06,GHA,P-79316,14
WC10,MEX,P-44438,21
WC14,ECU,P-05227,19
WC06,ARG,P-27419,14
WC10,ITA,P-42227,19
WC02,USA,P-43736,19
WC18,ENG,P-58924,9
WC10,GHA,P-29011,16
WC26,IRN,P-24531,11
WC26,ECU,P-94877,22
WC26,SEN,P-86095,12
WC26,IRN,P-97838,4
WC26,FRA,P-78484,5
WC26,BRA,P-21531,1
WC26,JPN,P-82447,17
WC26,BRA,P-92812,20
WC26,MEX,P-36212,3
WC26,KOR,P-61172,13
WC26,GHA,P-31765,9
WC26,AUS,P-05864,21
WC26,ARG,P-73712,8
WC26,AUS,P-35837,7
WC26,SEN,P-66635,10
WC26,ENG,P-15674,22
WC26,ARG,P-03265,18
WC26,BRA,P-15197,25
WC26,ESP,P-99025,24
WC26,BRA,P-74941,8
WC26,FRA,P-30711,1
WC26,TUN,P-81706,4
WC26,KOR,P-91889,14
WC26,QAT,P-38732,10
WC26,AUS,P-20087,9
WC10,NZL,P-48947,23
WC14,BEL,P-70547,2
WC18,KOR,P-34018,18
WC18,PAN,P-77892,13
WC18,BEL,P-70547,2
WC22,JPN,P-44328,20
WC14,MEX,P-11191,2
WC06,IRN,P-64146,16
WC22,JPN,P-66906,12
WC06,ITA,P-65802,4
WC02,USA,P-91976,17
WC22,ESP,P-88433,9
WC10,ARG,P-49114,15
WC18,EGY,P-74320,19
WC18,EGY,P-37703,9
WC18,FRA,P-60652,2
WC06,MEX,P-87592,20
WC22,TUN,P-73455,3
WC22,QAT,P-97800,6
WC10,GHA,P-39956,21
WC10,ENG,P-42890,19
WC22,MEX,P-40312,18
WC14,CIV,P-99466,11
WC10,ITA,P-99537,21
WC10,ARG,P-14758,10
WC06,ESP,P-83711,10
WC22,MEX,P-96662,12
WC14,GHA,P-12805,5
WC22,ARG,P-00652,2
WC14,ENG,P-56280,5
WC06,KOR,P-61550,3
WC22,GHA,P-33325,22
WC10,ITA,P-57248,23
WC10,ESP,P-51931,12
WC02,ESP,P-24556,7
WC22,ECU,P-96347,2
WC06,KOR,P-83544,22
WC02,ESP,P-19229,2
WC06,AUS,P-24935,6
WC22,CAN,P-32574,8
WC22,ENG,P-59837,11
WC10,BRA,P-30363,16
WC14,ECU,P-52676,3
WC14,ECU,P-33089,9
WC02,SEN,P-64668,23
WC10,FRA,P-09884,14
WC14,GHA,P-43176,2
WC14,ITA,P-61270,18
WC18,SWE,P-26943,1
WC10,ITA,P-65802,6
WC02,MEX,P-88428,10
WC02,TUN,P-15858,8
WC18,JPN,P-11411,12
WC22,USA,P-75522,15
WC14,USA,P-78024,18
WC02,SWE,P-74139,19
WC22,SEN,P-37001,25
WC10,ARG,P-56532,4
WC02,ARG,P-83403,2
WC14,KOR,P-03869,8
WC18,AUS,P-37275,15
WC22,BRA,P-21531,1
WC10,ITA,P-47246,7
WC22,ECU,P-75912,13
WC18,SWE,P-46506,18
WC06,AUS,P-60008,14
WC18,EGY,P-86080,23
WC22,BRA,P-92812,20
WC02,ARG,P-31684,4
WC10,KOR,P-88939,18
WC14,KOR,P-64718,12
WC22,USA,P-25925,20
WC22,JPN,P-68429,16
WC02,JPN,P-95259,16
WC22,CAN,P-85670,15
WC22,SEN,P-11718,2
WC02,ECU,P-28455,8
WC10,KOR,P-32822,19
WC14,CIV,P-44934,19
WC06,GHA,P-50641,11
WC22,BEL,P-84852,14
WC22,MAR,P-86644,26
WC10,USA,P-18672,8
WC10,ENG,P-99967,10
WC02,KOR,P-55097,20
WC06,USA,P-58649,4
WC14,CIV,P-08544,3
WC02,JPN,P-96566,11
WC06,IRN,P-16154,21
WC22,ECU,P-02839,26
WC02,TUN,P-47506,17
WC18,COL,P-26542,3
WC02,TUR,P-63089,8
WC06,FRA,P-51395,12
WC06,ITA,P-99537,21
WC22,AUS,P-82945,10
WC06,IRN,P-55739,22
WC14,ENG,P-87661,12
WC18,ENG,P-25937,12
WC22,GHA,P-12913,2
WC22,CAN,P-46263,18
WC14,AUS,P-73512,20
WC18,TUN,P-77301,18
WC06,SWE,P-07148,22
WC22,MEX,P-21208,15
WC18,SWE,P-30993,6
WC18,TUN,P-90867,13
WC10,ITA,P-06005,17
WC06,ITA,P-26539,6
WC02,ENG,P-00447,20
WC02,FRA,P-74065,21
WC18,FRA,P-84424,21
WC02,USA,P-78068,15
WC10,NZL,P-84524,19
WC18,SWE,P-08714,23
WC22,BEL,P-95312,17
WC22,MEX,P-57865,9
WC18,MEX,P-64299,5
WC10,ESP,P-05758,20
WC18,EGY,P-96547,18
WC22,ECU,P-75628,5
WC14,ESP,P-61793,1
WC06,ECU,P-54675,6
WC06,GHA,P-25083,15
WC14,ITA,P-99163,4
WC14,ESP,P-01416,18
WC06,ESP,P-56330,13
WC10,GHA,P-81778,22
WC06,MEX,P-10860,14
WC22,GHA,P-62854,7
WC22,BRA,P-15197,25
WC18,ESP,P-60554,17
WC10,CIV,P-64945,23
WC02,KOR,P-42690,23
WC18,IRN,P-53957,10
WC22,BRA,P-74941,8
WC10,FRA,P-69530,2
WC10,AUS,P-60008,11
WC14,ESP,P-98074,20
WC06,ITA,P-96512,9
WC22,KOR,P-07259,19
WC14,USA,P-18672,8
WC02,USA,P-49219,16
WC02,KOR,P-17666,3
WC14,GHA,P-66316,9
WC22,ENG,P-84787,4
WC18,BRA,P-49997,8
WC18,ENG,P-70618,1
WC14,ARG,P-58741,19
WC18,ESP,P-51443,13
WC02,KOR,P-96267,7
WC18,MEX,P-09951,6
WC02,SEN,P-05029,9
WC10,BRA,P-94551,2
WC18,ENG,P-02465,6
WC14,USA,P-71933,23
WC18,SWE,P-10221,20
WC26,FRA,P-69594,16
WC26,ARG,P-40147,14
WC26,CAN,P-49915,24
WC26,BEL,P-21652,18
WC26,GHA,P-33325,22
WC26,JPN,P-35225,4
WC26,USA,P-75522,15
WC26,TUN,P-42223,10
WC26,AUS,P-53409,24
WC26,USA,P-25925,20
WC26,IRN,P-45653,17
WC26,MAR,P-86644,26
WC26,CAN,P-35706,10
WC26,ENG,P-74071,2
WC26,AUS,P-91029,15
WC26,ENG,P-62368,23
WC26,GHA,P-12913,2
WC26,SEN,P-55298,21
WC26,TUN,P-32803,16
WC26,BEL,P-48955,7
WC26,ECU,P-49934,6
WC26,QAT,P-00052,2
WC26,GHA,P-62854,7
WC26,MEX,P-95198,17
WC26,ENG,P-31219,15
WC26,QAT,P-22110,25
WC26,ENG,P-90012,19
WC26,ENG,P-21553,10
WC26,ECU,P-62543,17
